id;municipio;2018;2019;2020;2021
420450;CORUPA;0;0;0;0
420455;CORREIA PINTO;0;0;0;0
420460;CRICIUMA;0;5;4;3
420470;CUNHA PORA;3;34;9;6
420475;CUNHATAI;0;0;1;0
420480;CURITIBANOS;0;2;0;0
420490;DESCANSO;0;0;1;5
420500;DIONISIO CERQUEIRA;0;0;17;1
420510;DONA EMMA;0;0;0;0
420515;DOUTOR PEDRINHO;0;0;0;0
420517;ENTRE RIOS;0;0;3;0
420519;ERMO;0;0;0;0
420520;ERVAL VELHO;0;0;0;0
420530;FAXINAL DOS GUEDES;1;1;0;0
420535;FLOR DO SERTAO;1;0;2;2
420540;FLORIANOPOLIS;21;102;195;288
420543;FORMOSA DO SUL;0;0;46;3
420545;FORQUILHINHA;0;0;0;0
420550;FRAIBURGO;0;1;2;1
420555;FREI ROGERIO;0;0;0;0
420560;GALVAO;0;0;0;0
420570;GAROPABA;2;2;0;1
420580;GARUVA;2;0;7;17
420590;GASPAR;0;1;3;4
420600;GOVERNADOR CELSO RAMOS;0;0;0;0
420610;GRAO PARA;0;0;0;0
420620;GRAVATAL;0;1;0;0
420630;GUABIRUBA;1;1;1;3
420640;GUARACIABA;0;2;2;1
420650;GUARAMIRIM;0;1;8;8
420660;GUARUJA DO SUL;0;0;2;0
420665;GUATAMBU;0;0;3;0
420670;HERVAL D'OESTE;1;0;0;1
420675;IBIAM;0;0;0;0
420680;IBICARE;0;0;0;0
420690;IBIRAMA;0;0;3;0
420700;ICARA;1;0;0;0
420710;ILHOTA;1;1;2;1
420720;IMARUI;0;0;0;1
420730;IMBITUBA;2;3;1;0
420740;IMBUIA;0;0;0;0
420750;INDAIAL;0;1;5;9
420757;IOMERE;0;0;0;0
420760;IPIRA;0;0;0;1
420765;IPORA DO OESTE;3;1;3;1
420768;IPUACU;0;0;15;1
420770;IPUMIRIM;0;0;0;0
420775;IRACEMINHA;0;0;0;0
420780;IRANI;0;0;0;0
420785;IRATI;0;0;7;1
420790;IRINEOPOLIS;0;0;0;0
420800;ITA;0;0;0;3
420810;ITAIOPOLIS;0;0;0;0
420820;ITAJAI;10;102;266;418
420830;ITAPEMA;22;638;86;36
420840;ITAPIRANGA;1;0;5;2
420845;ITAPOA;0;9;6;5
420850;ITUPORANGA;0;2;0;1
420860;JABORA;0;0;0;0
420870;JACINTO MACHADO;0;0;0;0
420880;JAGUARUNA;0;0;1;0
420890;JARAGUA DO SUL;0;7;26;13
420895;JARDINOPOLIS;0;0;0;1
420900;JOACABA;2;2;0;0
420910;JOINVILLE;5;20;8757;16447
420915;JOSE BOITEUX;0;0;0;0
420917;JUPIA;0;0;0;0
420920;LACERDOPOLIS;0;0;0;0
420930;LAGES;0;5;1;0
420940;LAGUNA;0;0;2;0
420945;LAJEADO GRANDE;0;0;0;0
420950;LAURENTINO;0;0;0;0
420960;LAURO MULLER;0;0;0;0
420970;LEBON REGIS;0;0;0;0
420980;LEOBERTO LEAL;0;0;0;0
420985;LINDOIA DO SUL;0;0;0;0
420990;LONTRAS;0;0;0;1
421000;LUIZ ALVES;0;0;1;0
421003;LUZERNA;0;0;0;0
421005;MACIEIRA;0;0;0;0
421010;MAFRA;0;1;1;4
421020;MAJOR GERCINO;1;0;0;0
421030;MAJOR VIEIRA;0;0;0;0
421040;MARACAJA;2;0;0;0
421050;MARAVILHA;0;13;133;3
421055;MAREMA;0;0;0;0
421060;MASSARANDUBA;0;1;0;2
421070;MATOS COSTA;0;0;0;0
421080;MELEIRO;0;0;0;0
421085;MIRIM DOCE;0;0;0;0
421090;MODELO;0;0;0;0
421100;MONDAI;1;0;18;2
421105;MONTE CARLO;0;0;0;0
421110;MONTE CASTELO;0;0;0;0
421120;MORRO DA FUMACA;0;0;0;0
421125;MORRO GRANDE;0;0;0;0
421130;NAVEGANTES;3;45;272;707
421140;NOVA ERECHIM;0;0;4;4
421145;NOVA ITABERABA;0;3;4;1
421150;NOVA TRENTO;0;3;0;0
421160;NOVA VENEZA;0;0;0;0
421165;NOVO HORIZONTE;0;0;0;0
421170;ORLEANS;0;1;0;0
421175;OTACILIO COSTA;0;0;0;0
421180;OURO;0;0;0;0
421185;OURO VERDE;0;0;0;0
421187;PAIAL;0;0;0;0
421189;PAINEL;0;0;0;0
421190;PALHOCA;0;8;2;30
421200;PALMA SOLA;0;1;18;9
421205;PALMEIRA;0;0;0;0
421210;PALMITOS;0;3;20;1
421220;PAPANDUVA;0;1;0;1
421223;PARAISO;0;0;0;0
421225;PASSO DE TORRES;0;0;0;0
421227;PASSOS MAIA;0;0;0;0
421230;PAULO LOPES;0;0;0;0
421240;PEDRAS GRANDES;0;0;0;0
421250;PENHA;0;1;10;38
421260;PERITIBA;0;0;0;0
421265;PESCARIA BRAVA;0;0;0;1
421270;PETROLANDIA;0;0;0;0
421280;BALNEARIO PICARRAS;0;2;3;41
421290;PINHALZINHO;0;2;20;8
421300;PINHEIRO PRETO;0;0;0;0
421310;PIRATUBA;0;0;0;0
421315;PLANALTO ALEGRE;0;1;1;0
421320;POMERODE;0;1;1;3
421330;PONTE ALTA;0;0;0;0
421335;PONTE ALTA DO NORTE;0;0;0;0
421340;PONTE SERRADA;0;0;0;0
421350;PORTO BELO;13;158;20;9
421360;PORTO UNIAO;1;0;2;0
421370;POUSO REDONDO;0;0;0;1
421380;PRAIA GRANDE;0;0;0;0
421390;PRESIDENTE CASTELLO BRANCO;0;0;0;1
421400;PRESIDENTE GETULIO;0;0;0;0
421410;PRESIDENTE NEREU;0;0;0;0
421415;PRINCESA;0;1;3;0
421420;QUILOMBO;0;0;0;1
421430;RANCHO QUEIMADO;0;0;0;0
421440;RIO DAS ANTAS;0;0;0;0
421450;RIO DO CAMPO;0;0;0;1
421460;RIO DO OESTE;0;0;0;0
421470;RIO DOS CEDROS;0;0;0;0
421480;RIO DO SUL;0;1;1;3
421490;RIO FORTUNA;1;0;0;1
421500;RIO NEGRINHO;0;1;0;0
421505;RIO RUFINO;0;0;0;0
421507;RIQUEZA;0;1;8;4
421510;RODEIO;0;0;0;0
421520;ROMELANDIA;1;0;0;0
421530;SALETE;0;0;2;0
421535;SALTINHO;0;0;0;0
421540;SALTO VELOSO;0;0;0;0
421545;SANGAO;0;0;0;0
421550;SANTA CECILIA;0;0;0;0
421555;SANTA HELENA;0;0;0;50
421560;SANTA ROSA DE LIMA;0;1;0;0
421565;SANTA ROSA DO SUL;0;0;0;0
421567;SANTA TEREZINHA;0;1;0;0
421568;SANTA TEREZINHA DO PROGRESSO;0;0;1;0
421569;SANTIAGO DO SUL;0;0;0;0
421570;SANTO AMARO DA IMPERATRIZ;1;1;0;1
421575;SAO BERNARDINO;0;0;1;1
421580;SAO BENTO DO SUL;0;2;2;3
421590;SAO BONIFACIO;0;1;0;3
421600;SAO CARLOS;0;0;117;3
421605;SAO CRISTOVAO DO SUL;0;0;0;0
421610;SAO DOMINGOS;0;0;0;0
421620;SAO FRANCISCO DO SUL;0;0;18;11
421625;SAO JOAO DO OESTE;0;0;0;0
421630;SAO JOAO BATISTA;0;6;2;0
421635;SAO JOAO DO ITAPERIU;0;0;1;0
421640;SAO JOAO DO SUL;0;0;0;0
421650;SAO JOAQUIM;0;0;0;0
421660;SAO JOSE;1;18;12;79
421670;SAO JOSE DO CEDRO;1;1;21;4
421680;SAO JOSE DO CERRITO;0;0;0;0
421690;SAO LOURENCO DO OESTE;1;1;7;12
421700;SAO LUDGERO;0;0;0;0
421710;SAO MARTINHO;0;0;0;0
421715;SAO MIGUEL DA BOA VISTA;0;0;0;0
421720;SAO MIGUEL DO OESTE;0;4;147;11
421725;SAO PEDRO DE ALCANTARA;0;0;0;0
421730;SAUDADES;0;1;7;0
421740;SCHROEDER;0;0;2;2
421750;SEARA;7;4;1;11
421755;SERRA ALTA;0;0;0;0
421760;SIDEROPOLIS;0;0;0;0
421770;SOMBRIO;0;1;1;2
421775;SUL BRASIL;0;0;2;0
421780;TAIO;0;0;2;0
421790;TANGARA;0;0;0;0
421795;TIGRINHOS;0;0;0;0
421800;TIJUCAS;2;5;254;4
421810;TIMBE DO SUL;0;0;0;1
421820;TIMBO;0;1;0;2
421825;TIMBO GRANDE;0;0;0;0
421830;TRES BARRAS;0;0;1;1
421835;TREVISO;0;0;0;0
421840;TREZE DE MAIO;0;0;0;0
421850;TREZE TILIAS;0;0;0;0
421860;TROMBUDO CENTRAL;1;0;2;0
421870;TUBARAO;1;8;5;3
421875;TUNAPOLIS;2;1;0;6
421880;TURVO;0;0;0;0
421885;UNIAO DO OESTE;0;0;0;0
421890;URUBICI;0;0;0;0
421895;URUPEMA;0;0;0;0
421900;URUSSANGA;1;0;0;0
421910;VARGEAO;0;0;1;0
421915;VARGEM;0;0;0;0
421917;VARGEM BONITA;0;0;0;0
421920;VIDAL RAMOS;0;0;0;1
421930;VIDEIRA;0;3;2;1
421935;VITOR MEIRELES;0;0;0;0
421940;WITMARSUM;0;0;0;0
421950;XANXERE;1;3;7;5
421960;XAVANTINA;0;0;0;0
421970;XAXIM;0;3;13;8
421985;ZORTEA;0;0;0;0
422000;BALNEARIO RINCAO;0;0;0;0
